date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:32:02	89160/89160	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:31:59%20GMT	https://marxismo.org.br/	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/index.html	(from )
23:32:11	95355/95355	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:32:08%20GMT	https://marxismo.org.br/artigos/	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/artigos/index.html	(from )
23:32:11	93422/93422	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:32:08%20GMT	https://marxismo.org.br/teoria/	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/teoria/index.html	(from )
23:32:13	96743/96743	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:32:10%20GMT	https://marxismo.org.br/nossas-lutas/	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/nossas-lutas/index.html	(from )
23:32:22	94642/94642	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:32:19%20GMT	https://marxismo.org.br/documentos/	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/documentos/index.html	(from )
23:32:22	85573/85573	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:32:19%20GMT	https://marxismo.org.br/multimidia/	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/multimidia/index.html	(from )
23:32:23	83315/83315	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:32:20%20GMT	https://marxismo.org.br/publicacoes/	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/publicacoes/index.html	(from )
23:32:24	64534/64534	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:32:23%20GMT	https://marxismo.org.br/contato/	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/contato/index.html	(from )
23:32:24	118708/118708	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:32:23%20GMT	https://marxismo.org.br/quem-somos/	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/quem-somos/index.html	(from )
23:32:24	111/111	---M-Z	200	added ('OK')	text/plain	date:Thu,%2001%20Aug%202024%2020:32:07%20GMT	https://marxismo.org.br/robots.txt		(from )
23:32:25	5842/5842	---MC-	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:32:24%20GMT	https://gmpg.org/xfn/11	C:/My%20Web%20Sites/NewDawn/gmpg.org/xfn/11.html	(from https://marxismo.org.br/)
23:32:25	0/0	---M--	200	added ('OK')	text/html	date:Thu,%2001%20Aug%202024%2020:32:25%20GMT	https://marxismo.org.br/xmlrpc.php	C:/My%20Web%20Sites/NewDawn/marxismo.org.br/xmlrpc.php	(from https://marxismo.org.br/)
23:32:26	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Aug%202024%2020:32:25%20GMT	http://secure.gravatar.com/	C:/My%20Web%20Sites/NewDawn/secure.gravatar.com/index.html	(from https://marxismo.org.br/)
23:32:26	49/49	---MC-	400	error ('Bad%20Request')	text/html	date:Thu,%2001%20Aug%202024%2020:32:25%20GMT	http://i0.wp.com/	C:/My%20Web%20Sites/NewDawn/i0.wp.com/index.html	(from https://marxismo.org.br/)
23:32:26	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Aug%202024%2020:32:26%20GMT	http://stats.wp.com/	C:/My%20Web%20Sites/NewDawn/stats.wp.com/index.html	(from https://marxismo.org.br/)
23:32:26	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2001%20Aug%202024%2020:32:26%20GMT	http://c0.wp.com/	C:/My%20Web%20Sites/NewDawn/c0.wp.com/index.html	(from https://marxismo.org.br/)
